book,projection_id,sport,league,player_id,player_name,team,opponent,position,game_id,stat_type,stat,map_from,map_to,combo,combo_players,voidable,board_time,start_time,open_line,open_seen_at,current_line,current_odds_type,last_seen_at,status,odds_over,odds_under
prizepicks,15198729,lol,LoL,225986,Fudge,SR,FLY,TOP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,9.5,2026-09-25T05:34:18+00:00,9.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197803,lol,LoL,225986,Fudge,SR,FLY,TOP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,7.0,2026-09-25T05:34:18+00:00,7.0,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198730,lol,LoL,225986,Fudge,SR,FLY,TOP,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198488,lol,LoL,225987,Contractz,SR,FLY,JNG,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,9.5,2026-09-25T05:34:18+00:00,9.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197804,lol,LoL,225987,Contractz,SR,FLY,JNG,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,7.0,2026-09-25T05:34:18+00:00,7.0,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198489,lol,LoL,225987,Contractz,SR,FLY,JNG,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198468,lol,LoL,296138,Zinie,SR,FLY,MID,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,11.5,2026-09-25T05:34:18+00:00,11.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15197805,lol,LoL,296138,Zinie,SR,FLY,MID,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,8.5,2026-09-25T05:34:18+00:00,8.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198469,lol,LoL,296138,Zinie,SR,FLY,MID,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,goblin,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198922,lol,LoL,95225,Bvoy,SR,FLY,BOT,SRFLY46290.7916666667,MAPS 1-3 Kills,kills,1,3,0,,1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,13.5,2026-09-25T05:34:18+00:00,13.5,demon,2026-09-25T19:56:06+00:00,pre_game,,
